B2	找B2检票口
7进站口	找7号进站口
A3号口	找A3检票口
西边出站口	找西出站口
茅坑	找卫生间
A11口	找A11检票口
b3检票口	找B3检票口
北13	找北13桥柱
南侧出站口	找南出站口
到达口14	找14号到达口
打票	找自助取票机
A24检票口	找A24检票口
h入口	找H口
l口	找L口
P4	找p4停车场
没电	借充电宝
6号进站口	找6号进站口
A16	找A16检票口
出口25	找25号到达口
进站口南	找南进站口
港澳通行证	人工窗口
3号出站口	找3号出站口
b28	找B28检票口
东出口	找东出口
B1口	找B1检票口
检票口a12	找A12检票口
护照核验	找处理12306账户
检票口A24	找A24检票口
C22	找C22检票口
23号出口	找23号到达口
地名,错过了,改签	找改签处
北3桥墩	找北3桥柱
南门的进站口	找南进站口
到达口28	找28号到达口
2进站口	找2号进站口
检票口a2	找A2检票口
检票口A16	找A16检票口
东出发平台	找东出发平台
A19	找A19检票口
B7检票口	找B7检票口
进站口3	找3号进站口
2号出站口	找2号出站口
检票口b14	找B14检票口
到达口18	找18号到达口
b5口	找B5检票口
地名4,大巴	坐大巴
A11口	找A11检票口
c25号口	找C25检票口
南边的出站口	找南出站口
a22号口	找A22检票口
坐出租车	坐出租车
D27检票口	找D27检票口
北4柱	找北4桥柱
B27检票口	找B27检票口
坐车	坐车
到达口10	找10号到达口
西侧的进站口	找西进站口
南门	找南门
B21号口	找B21检票口
A11口	找A11检票口
c21检票口	找C21检票口
母婴处	找母婴室
检票口B15	找B15检票口
B1口	找B1检票口
检票口a12	找A12检票口
a14检票口	找A14检票口
取款机	找ATM机
西边出站口	找西出站口
A10口	找A10检票口
d20	找D20检票口
东面出站口	找东出站口
580服务台	找西门爱心驿站
A17口	找A17检票口
E入口	找E口
12号出口	找12号到达口
D25检票口	找D25检票口
北停车场	找北1停车场
检票口C20	找C20检票口
c口	找C口
地名1,城轨,坐车	坐城轨
火车票,取	找自助取票机
A19检票口	找A19检票口
D24口	找D24检票口
b18检票口	找B18检票口
d28号口	找D28检票口
检票口a19	找A19检票口
c27号口	找C27检票口
3号口	找3号到达口
b21检票口	找B21检票口
a10	找A10检票口
南6桥柱	找南6桥柱
检票口D22	找D22检票口
北进站口	找北进站口
A6口	找A6检票口
刷身份证,进去	坐城轨
3层	坐车
买,高铁,票	买票
检票口A7	找A7检票口
C23口	找C23检票口
B23检票口	找B23检票口
南13洞口	找南13桥柱
吸烟室	找吸烟处
A6	找A6检票口
东边的爱心驿站	找东门爱心驿站
2号出站口	找2号出站口
检票口A6	找A6检票口
B1	找B1检票口
B7检票口	找B7检票口
东侧进站口	找东进站口
b22	找B22检票口
检票口d27	找D27检票口
公交	坐公交
南4桥柱	找南4桥柱
A20检票口	找A20检票口
快餐	用餐
a28检票口	找A28检票口
a17	找A17检票口
出站口5	找5号出站口
h入口	找H口
B20	找B20检票口
北6	找北6桥柱
检票口A27	找A27检票口
打印车票	找自助取票机
B11号口	找B11检票口
北6桥洞	找北6桥柱
b4	找B4检票口
A5口	找A5检票口
西门的出站口	找西出站口
D22检票口	找D22检票口
d24口	找D24检票口
城巴	坐大巴
快速接人	找p3停车场
检票口a9	找A9检票口
考核证件	找处理12306账户
d20	找D20检票口
进站口8	找8号进站口
北14桥	找北14桥柱
13号口	找13号到达口
东边出站口	找东出站口
A14号口	找A14检票口
改签	找改签处
出口11	找11号到达口
南边出站口	找南出站口
厕所	找卫生间
6进站口	找6号进站口
地名1,等车	坐城轨
出口22	找22号到达口
检票口A23	找A23检票口
a17	找A17检票口
D28检票口	找D28检票口
d23口	找D23检票口
D21	找D21检票口
高铁票,取	找自助取票机
北14洞口	找北14桥柱
b9号口	找B9检票口
A13口	找A13检票口
13号到达口	找13号到达口
B27检票口	找B27检票口
12306	找处理12306账户
出口	找到达口
5出站口	找5号出站口
南站南路	找南站南路
19号到达口	找19号到达口
南9柱	找南9桥柱
10号到达口	找10号到达口
d22号口	找D22检票口
南站南路	找南站南路
coffee	找咖啡店
18号出口	找18号到达口
南出站口	找南出站口
c21号口	找C21检票口
到达口17	找17号到达口
22出口	找22号到达口
B12号口	找B12检票口
B17口	找B17检票口
检票口a12	找A12检票口
p1	找p1停车场
检票口D28	找D28检票口
c25口	找C25检票口
母婴室	找母婴室
报验护照	找处理12306账户
a5	找A5检票口
坐车	坐车
北11桥	找北11桥柱
b区	找检票B区
B16检票口	找B16检票口
检票口d24	找D24检票口
5进站口	找5号进站口
a18口	找A18检票口
B3号口	找B3检票口
西出口,出发厅	找西出发平台
a19口	找A19检票口
检票口B14	找B14检票口
东侧,出发平台	找东出发平台
B28	找B28检票口
a8号口	找A8检票口
检票口A23	找A23检票口
D27口	找D27检票口
公交车	坐公交
进站	坐车
进站	坐车
p2停车场	找p2停车场
进站口	坐车
南13桥墩	找南13桥柱
北4桥洞	找北4桥柱
C26号口	找C26检票口
坐车	坐车
b25检票口	找B25检票口
d23检票口	找D23检票口
失物招领	找失物招领处
存行李	找行李寄存处
b24口	找B24检票口
b12口	找B12检票口
D24	找D24检票口
公共汽车	坐公交
6进站口	找6号进站口
到达口12	找12号到达口
南11桥洞	找南11桥柱
b21检票口	找B21检票口
东出口	找东出口
D24	找D24检票口
坐车	坐车
南9桥墩	找南9桥柱
南3洞口	找南3桥柱
a5口	找A5检票口
5号进站口	找5号进站口
c27	找C27检票口
忘带身份证	办临时身份证
检票口C24	找C24检票口
b22号口	找B22检票口
南5桥洞	找南5桥柱
周黑鸭	找周黑鸭
g口	找G口
南14柱	找南14桥柱
a7检票口	找A7检票口
轻轨,在哪坐	坐城轨
b24号口	找B24检票口
检票口a1	找A1检票口
南7桥柱	找南7桥柱
西边的进站口	找西进站口
23号口	找23号到达口
南,5号桥	找南5桥柱
a24	找A24检票口
11号出口	找11号到达口
北8柱	找北8桥柱
地名,取不出来,票	人工窗口
B16口	找B16检票口
西侧的出站口	找西出站口
南2桥洞	找南2桥柱
25号到达口	找25号到达口
进站口8	找8号进站口
2号线,地铁	坐地铁
汤粉	找汤上功夫
南,11号桥	找南11桥柱
10出口	找10号到达口
a18口	找A18检票口
8号出口	找8号到达口
B19号口	找B19检票口
订动车票	人工窗口
b3检票口	找B3检票口
北5柱	找北5桥柱
A15检票口	找A15检票口
取钱	找ATM机
改票	找改签处
人工取票	人工窗口
9号口	找9号到达口
c21检票口	找C21检票口
b2	找B2检票口
d28号口	找D28检票口
西门出站口	找西出站口
进站	坐车
d26口	找D26检票口
检票口a9	找A9检票口
26号口	找26号到达口
地名1,城轨	坐城轨
ATM机	找ATM机
到3楼	坐车
24号口	找24号到达口
B17检票口	找B17检票口
27号出口	找27号到达口
4进站口	找4号进站口
检票口C25	找C25检票口
检票口d23	找D23检票口
B8	找B8检票口
检票口B1	找B1检票口
a7号口	找A7检票口
c24号口	找C24检票口
西出发平台	找西出发平台
买票	买票
a18检票口	找A18检票口
北7桥柱	找北7桥柱
南,11号桥	找南11桥柱
a25号口	找A25检票口
9号口	找9号到达口
公交车	坐公交
南4柱	找南4桥柱
南14	找南14桥柱
b20	找B20检票口
A11检票口	找A11检票口
A23	找A23检票口
西门的爱心驿站	找西门爱心驿站
进站口	坐车
西侧的爱心驿站	找西门爱心驿站
南12桥墩	找南12桥柱
东面出站口	找东出站口
B26	找B26检票口
A2	找A2检票口
10号口	找10号到达口
南9桥	找南9桥柱
B2	找B2检票口
b入口	找B口
7号口	找7号到达口
南2桥	找南2桥柱
A23	找A23检票口
南13桥墩	找南13桥柱
南3洞口	找南3桥柱
买票	买票
a5	找A5检票口
北1桥柱	找北1桥柱
北面的出站口	找北出站口
B11号口	找B11检票口
进站	坐车
南面的进站口	找南进站口
充电	借充电宝
南,6号桥	找南6桥柱
检票口A20	找A20检票口
出口14	找14号到达口
b10口	找B10检票口
d27	找D27检票口
汽车站	坐大巴
出口24	找24号到达口
d21检票口	找D21检票口
出发平台	找出发平台
检票口d22	找D22检票口
b26	找B26检票口
南站南路	找南站南路
进站口2	找2号进站口
a6	找A6检票口
西侧,出发平台	找西出发平台
护照	人工窗口
7号线	坐地铁
185服务台	找185服务台
检票口c26	找C26检票口
北,2号桥	找北2桥柱
南13桥柱	找南13桥柱
改时间	找改签处
地名,高铁,上三楼	坐车
打印车票	找自助取票机
a3号口	找A3检票口
a28检票口	找A28检票口
出站口南	找南出站口
改签	找改签处
a4	找A4检票口
检票口c27	找C27检票口
西在哪个方向	找西边
北在哪侧	找北边
a18	找A18检票口
临时	办临时身份证
充电宝	借充电宝
f出口	找F口
a8	找A8检票口
北10洞口	找北10桥柱
就餐,面条	用餐
6出站口	找6号出站口
地名,等车	坐车
北6桥洞	找北6桥柱
C出口	找C口
到达口15	找15号到达口
身份证忘带	办临时身份证
A28检票口	找A28检票口
客运站	坐大巴
检票口B21	找B21检票口
东在哪个方向	找东边
检票口a5	找A5检票口
没电了	借充电宝
A1口	找A1检票口
南站北路	找南站北路
轻轨,地名1,在哪坐	坐城轨
a12口	找A12检票口
南进站口	找南进站口
b14号口	找B14检票口
a21检票口	找A21检票口
检票口a15	找A15检票口
A14号口	找A14检票口
4号口	找4号到达口
b27检票口	找B27检票口
B12口	找B12检票口
核验证件	找处理12306账户
北4柱	找北4桥柱
人工取票	人工窗口
地名,过来,高铁,到达口	找到达口
南站北路	找南站北路
身份证忘带	办临时身份证
H入口	找H口
检票口D20	找D20检票口
a1号口	找A1检票口
北13桥	找北13桥柱
北10	找北10桥柱
b3检票口	找B3检票口
哪里坐	坐车
出站口	找到达口
H出口	找H口
B6号口	找B6检票口
西在哪个方向	找西边
b25	找B25检票口
k出口	找K口
南6柱	找南6桥柱
停车场	找停车场
到达口9	找9号到达口
动车票,取	找自助取票机
21号到达口	找21号到达口
A14号口	找A14检票口
检票口B28	找B28检票口
火车票,取	找自助取票机
20号出口	找20号到达口
d23	找D23检票口
26出口	找26号到达口
检票口b27	找B27检票口
检票口D22	找D22检票口
南5洞口	找南5桥柱
购票	买票
B15	找B15检票口
到达口9	找9号到达口
C25检票口	找C25检票口
c25检票口	找C25检票口
B28号口	找B28检票口
行李寄存处	找行李寄存处
b5口	找B5检票口
C24号口	找C24检票口
C27口	找C27检票口
南7桥	找南7桥柱
a12口	找A12检票口
2号,地铁站,入口	坐地铁
a15	找A15检票口
回乡证	人工窗口
出口22	找22号到达口
A20检票口	找A20检票口
核验护照	找处理12306账户
c27检票口	找C27检票口
港澳通行证	人工窗口
A15口	找A15检票口
上去,三层	坐车
检票口B25	找B25检票口
西边的进站口	找西进站口
a21号口	找A21检票口
改签	找改签处
检票口B10	找B10检票口
卫生间	找卫生间
J入口	找J口
出口21	找21号到达口
2号,地铁站	坐地铁
C28口	找C28检票口
c区	找检票C区
北1柱	找北1桥柱
P4	找p4停车场
到达口19	找19号到达口
南2	找南2桥柱
坐车	坐车
19出口	找19号到达口
南1桥柱	找南1桥柱
a27检票口	找A27检票口
p5	找p5停车场
上去,三层	坐车
出口4	找4号到达口
D23检票口	找D23检票口
顺风车	找p1停车场
a26	找A26检票口
到达口22	找22号到达口
a8口	找A8检票口
北1停车场	找北1停车场
a26检票口	找A26检票口
检票口d24	找D24检票口
p2	找p2停车场
改签	找改签处
东面的出站口	找东出站口
a5号口	找A5检票口
B口	找B口
出发厅	找出发平台
D26口	找D26检票口
南5柱	找南5桥柱
北12	找北12桥柱
B7口	找B7检票口
检票口B10	找B10检票口
A9号口	找A9检票口
a24号口	找A24检票口
D23号口	找D23检票口
b27号口	找B27检票口
B4	找B4检票口
b8口	找B8检票口
a8检票口	找A8检票口
南站北路	找南站北路
改时间	找改签处
西广场	找西广场
东出发平台	找东出发平台
北14桥墩	找北14桥柱
c21号口	找C21检票口
小件行李寄存处	找行李寄存处
等车	坐车
检票口b19	找B19检票口
b20口	找B20检票口
a11	找A11检票口
南13桥墩	找南13桥柱
南出口	找南门
检票口A25	找A25检票口
南3桥洞	找南3桥柱
取票	找自助取票机
北12柱	找北12桥柱
D20口	找D20检票口
检票口C20	找C20检票口
d20口	找D20检票口
p5	找p5停车场
检票口D21	找D21检票口
检票口D21	找D21检票口
b28	找B28检票口
A16号口	找A16检票口
进站口北	找北进站口
轻轨,地名,买票	买票
B10号口	找B10检票口
b12号口	找B12检票口
D28号口	找D28检票口
快速接人	找p3停车场
广南汽车客运站	坐大巴
哪里上	坐车
d22检票口	找D22检票口
到达口27	找27号到达口
10号到达口	找10号到达口
P10停车场	找p10停车场
南11桥	找南11桥柱
a17	找A17检票口
哪里坐	坐车
出站口	找出站口
出口9	找9号到达口
动车,出站口	找到达口
到达口7	找7号到达口
b4号口	找B4检票口
b26号口	找B26检票口
P8停车场	找p8停车场
存行李	找行李寄存处
检票口D21	找D21检票口
580服务台	找西门爱心驿站
b11检票口	找B11检票口
南11柱	找南11桥柱
b20检票口	找B20检票口
坐出租车	坐出租车
南6洞口	找南6桥柱
b25	找B25检票口
7号进站口	找7号进站口
检票口B14	找B14检票口
核验回乡证	找处理12306账户
北门的出站口	找北出站口
A17检票口	找A17检票口
2号,地铁站	坐地铁
a15口	找A15检票口
东侧的进站口	找东进站口
地名,上三楼	坐车
d28号口	找D28检票口
北4洞口	找北4桥柱
身份证核验	找处理12306账户
2号线	坐地铁
地名,过来,高铁,到达口	找到达口
7号线	坐地铁
北停车场	找北1停车场
A23	找A23检票口
南10桥	找南10桥柱
南站南路	找南站南路
北侧出站口	找北出站口
行李寄存	找行李寄存处
d26	找D26检票口
南4桥柱	找南4桥柱
西门爱心驿站	找西门爱心驿站
B区	找检票B区
出站口西	找西出站口
2号,地铁站	坐地铁
g口	找G口
D23检票口	找D23检票口
哪里上	坐车
高铁站,售票大厅	人工窗口
母婴室	找母婴室
15号口	找15号到达口
坐车	坐车
B10	找B10检票口
A2口	找A2检票口
a13口	找A13检票口
b5	找B5检票口
班车,出站口	找到达口
检票口a19	找A19检票口
b20号口	找B20检票口
北5桥洞	找北5桥柱
上去,三层	坐车
西边进站口	找西进站口
南边的进站口	找南进站口
地名,过来,高铁,到达口	找到达口
4号进站口	找4号进站口
a11	找A11检票口
C26口	找C26检票口
地名,高铁,坐车	坐车
检票口B6	找B6检票口
a6	找A6检票口
检票口B10	找B10检票口
地铁口	坐地铁
蒸功夫	找蒸功夫
快餐	用餐
南14桥洞	找南14桥柱
东边出站口	找东出站口
北,9号桥	找北9桥柱
南12桥柱	找南12桥柱
580服务台	找西门爱心驿站
C23号口	找C23检票口
南2桥	找南2桥柱
4号到达口	找4号到达口
27号到达口	找27号到达口
绝味鸭脖	找绝味鸭脖
b19检票口	找B19检票口
a5号口	找A5检票口
班车,出站口	找到达口
15号口	找15号到达口
检票口a6	找A6检票口
汇智光华商店	找汇智光华商店
B18	找B18检票口
地名4,大巴	坐大巴
检票口A10	找A10检票口
d出口	找D口
坐高铁	坐车
南边的出站口	找南出站口
公共汽车	坐公交
地名,高铁,上三楼	坐车
出站口1	找1号出站口
B13口	找B13检票口
a11号口	找A11检票口
北10	找北10桥柱
c21	找C21检票口
A2	找A2检票口
12306	找处理12306账户
b11检票口	找B11检票口
忘记密码	找处理12306账户
南7桥洞	找南7桥柱
b7检票口	找B7检票口
检票口A11	找A11检票口
北7桥墩	找北7桥柱
到达口18	找18号到达口
检票口B28	找B28检票口
13号口	找13号到达口
A14	找A14检票口
24出口	找24号到达口
北3	找北3桥柱
小件行李寄存处	找行李寄存处
南,8号桥	找南8桥柱
b16	找B16检票口
a12号口	找A12检票口
b6口	找B6检票口
A16检票口	找A16检票口
5号出站口	找5号出站口
d20	找D20检票口
A20口	找A20检票口
东侧出站口	找东出站口
b10号口	找B10检票口
C区	找检票C区
6出口	找6号到达口
c22号口	找C22检票口
买票	买票
检票口C25	找C25检票口
北7桥柱	找北7桥柱
检票口b26	找B26检票口
27号到达口	找27号到达口
B3检票口	找B3检票口
b18口	找B18检票口
售票机	找自助售票机
11号到达口	找11号到达口
候车室,进站口	坐车
买票	买票
北入口	找北门
行李寄存处	找行李寄存处
P1停车场	找p1停车场
C26号口	找C26检票口
4号出口	找4号到达口
D20口	找D20检票口
检票口b3	找B3检票口
a11检票口	找A11检票口
a5检票口	找A5检票口
东南区	找东南区
北9桥洞	找北9桥柱
a10号口	找A10检票口
A17检票口	找A17检票口
检票口B16	找B16检票口
A17	找A17检票口
退票,怎么退	人工窗口
停车场	找停车场
K出口	找K口
p3停车场	找p3停车场
退票,怎么退	人工窗口
a21	找A21检票口
A24检票口	找A24检票口
地名1,候车	坐城轨
到达口14	找14号到达口
西,出发平台	找西出发平台
B23号口	找B23检票口
坐车	坐车
a4口	找A4检票口
A10检票口	找A10检票口
西出口	找西出口
A23口	找A23检票口
12306	找处理12306账户
d25号口	找D25检票口
检票口B1	找B1检票口
改时间	找改签处
1号口	找1号到达口
北边的出站口	找北出站口
A26口	找A26检票口
b25	找B25检票口
b16	找B16检票口
北14	找北14桥柱
出站口	找出站口
到达口26	找26号到达口
11号口	找11号到达口
客运站	坐大巴
上去,3层	坐车
出口2	找2号到达口
5号出口	找5号到达口
南侧进站口	找南进站口
B15号口	找B15检票口
餐饮	用餐
坐地铁	坐地铁
B28检票口	找B28检票口
B22	找B22检票口
72街	找72街
B出口	找B口
d口	找D口
D25口	找D25检票口
北9桥	找北9桥柱
出去,西门	找西门
东门进站口	找东进站口
B15检票口	找B15检票口
上去,三楼	坐车
7号到达口	找7号到达口
南侧进站口	找南进站口
D20检票口	找D20检票口
检票口B12	找B12检票口
北10桥洞	找北10桥柱
南14洞口	找南14桥柱
检票口D22	找D22检票口
a16号口	找A16检票口
A6口	找A6检票口
考核护照	找处理12306账户
北1桥洞	找北1桥柱
A6号口	找A6检票口
B1	找B1检票口
b20	找B20检票口
北4桥洞	找北4桥柱
A1	找A1检票口
南14桥柱	找南14桥柱
北3桥柱	找北3桥柱
专车	找p1停车场
护照	人工窗口
坐地铁	坐地铁
b15检票口	找B15检票口
到达口1	找1号到达口
2号线	坐地铁
C25	找C25检票口
a15	找A15检票口
B7号口	找B7检票口
3层	坐车
3号口	找3号到达口
轻轨,地名1,在哪坐	坐城轨
订动车票	人工窗口
检票口C21	找C21检票口
北3柱	找北3桥柱
b21号口	找B21检票口
南,1号桥	找南1桥柱
报验护照	找处理12306账户
b1口	找B1检票口
南站汽车客运站	坐大巴
A15口	找A15检票口
p8	找p8停车场
没电了	借充电宝
d21	找D21检票口
a11口	找A11检票口
B27号口	找B27检票口
南门进站口	找南进站口
g出口	找G口
高铁票,取票	找自助取票机
a24	找A24检票口
J口	找J口
出口2	找2号到达口
出口2	找2号到达口
2号出口	找2号到达口
10号到达口	找10号到达口
检票口B20	找B20检票口
7号进站口	找7号进站口
南8桥	找南8桥柱
A28	找A28检票口
充电	借充电宝
南5桥	找南5桥柱
D27口	找D27检票口
人工取票	人工窗口
南入口	找南门
北5桥柱	找北5桥柱
4号出站口	找4号出站口
人工,服务台,售票	人工窗口
坐地铁	坐地铁
a4号口	找A4检票口
p3	找p3停车场
a3号口	找A3检票口
C22口	找C22检票口
南10柱	找南10桥柱
C23检票口	找C23检票口
出站口6	找6号出站口
进站口1	找1号进站口
北出站口	找北出站口
西侧,出发平台	找西出发平台
b区	找检票B区
检票口b28	找B28检票口
B11口	找B11检票口
南8桥洞	找南8桥柱
2号口	找2号到达口
北,4号桥	找北4桥柱
西边的进站口	找西进站口
汤上功夫	找汤上功夫
取不了	人工窗口
6进站口	找6号进站口
南11桥	找南11桥柱
检票口b9	找B9检票口
南,7号桥	找南7桥柱
b26口	找B26检票口
A13号口	找A13检票口
取票	找自助取票机
蒸功夫	找蒸功夫
东进站口	找东进站口
地名4,坐车	坐大巴
北6桥	找北6桥柱
南5桥墩	找南5桥柱
A9号口	找A9检票口
南13	找南13桥柱
北13桥柱	找北13桥柱
检票口A1	找A1检票口
1号出口	找1号到达口
就餐,面条	用餐
18号口	找18号到达口
北,4号桥	找北4桥柱
6号出站口	找6号出站口
北11桥墩	找北11桥柱
东进站口	找东进站口
检票口B26	找B26检票口
城轨,哪个口	找到达口
P8停车场	找p8停车场
4出站口	找4号出站口
B26检票口	找B26检票口
F口	找F口
西边,出发平台	找西出发平台
b3号口	找B3检票口
b15口	找B15检票口
出口6	找6号到达口
H口	找H口
检票口B3	找B3检票口
1出站口	找1号出站口
2号线,地铁	坐地铁
打票	找自助取票机
北在哪侧	找北边
B3口	找B3检票口
a11口	找A11检票口
C20检票口	找C20检票口
P3停车场	找p3停车场
D28口	找D28检票口
南6柱	找南6桥柱
动车,出站口	找到达口
c21号口	找C21检票口
B7口	找B7检票口
检票口b6	找B6检票口
检票口A28	找A28检票口
B8号口	找B8检票口
北14柱	找北14桥柱
北11桥柱	找北11桥柱
到3楼	坐车
B9	找B9检票口
b7口	找B7检票口
B4	找B4检票口
a4号口	找A4检票口
8进站口	找8号进站口
南边进站口	找南进站口
A24口	找A24检票口
a18检票口	找A18检票口
c20口	找C20检票口
a21号口	找A21检票口
24号口	找24号到达口
南2桥柱	找南2桥柱
南7	找南7桥柱
检票口A23	找A23检票口
P1	找p1停车场
b26口	找B26检票口
P5停车场	找p5停车场
4号进站口	找4号进站口
D27口	找D27检票口
到达口3	找3号到达口
23号到达口	找23号到达口
南侧出站口	找南出站口
出发厅	找出发平台
南4	找南4桥柱
行李寄存处	找行李寄存处
b26口	找B26检票口
A6口	找A6检票口
忘带身份证	办临时身份证
检票口a25	找A25检票口
b17号口	找B17检票口
D22检票口	找D22检票口
A16检票口	找A16检票口
B11号口	找B11检票口
南8柱	找南8桥柱
认证	找处理12306账户
人工取票	人工窗口
厕所	找卫生间
A19口	找A19检票口
B26	找B26检票口
北5桥柱	找北5桥柱
p10	找p10停车场
A17口	找A17检票口
南12	找南12桥柱
f出口	找F口
a27号口	找A27检票口
B24检票口	找B24检票口
P2	找p2停车场
c20检票口	找C20检票口
检票口B18	找B18检票口
出口20	找20号到达口
9号口	找9号到达口
A8	找A8检票口
p1	找p1停车场
A16号口	找A16检票口
D21	找D21检票口
坐车	坐车
打票	找自助取票机
7进站口	找7号进站口
到3楼	坐车
B9号口	找B9检票口
充电宝	借充电宝
北3	找北3桥柱
检票口B17	找B17检票口
出口9	找9号到达口
A8口	找A8检票口
b17口	找B17检票口
检票口a25	找A25检票口
d25	找D25检票口
坐车	坐车
2号地铁	坐地铁
B20口	找B20检票口
南侧出站口	找南出站口
检票口c22	找C22检票口
地名,高铁,上三楼	坐车
南门的进站口	找南进站口
检票口b8	找B8检票口
汽车站	坐大巴
B4口	找B4检票口
北4洞口	找北4桥柱
南门进站口	找南进站口
coffee	找咖啡店
b17口	找B17检票口
检票口D22	找D22检票口
2号线,地铁	坐地铁
a15检票口	找A15检票口
a8检票口	找A8检票口
23号口	找23号到达口
地名,换乘	坐车
c27口	找C27检票口
北边的出站口	找北出站口
能不能	是否类问题
检票口b28	找B28检票口
D26号口	找D26检票口
地名,上三楼	坐车
F口	找F口
北2柱	找北2桥柱
南5洞口	找南5桥柱
C27检票口	找C27检票口
A12	找A12检票口
D25	找D25检票口
到达口19	找19号到达口
买票	买票
地名,过来,高铁,到达口	找到达口
北12	找北12桥柱
c27号口	找C27检票口
检票口d23	找D23检票口
检票口c20	找C20检票口
临时身份证	办临时身份证
出站口	找出站口
改签	找改签处
检票口b28	找B28检票口
14号到达口	找14号到达口
K出口	找K口
南7桥墩	找南7桥柱
地名,高铁,上三楼	坐车
A15	找A15检票口
京东快递	找京东快递
西面的进站口	找西进站口
南在哪边	找南边
b23检票口	找B23检票口
北4桥	找北4桥柱
K入口	找K口
东面的爱心驿站	找东门爱心驿站
快速接人	找p3停车场
E出口	找E口
北8柱	找北8桥柱
地名,高铁,坐车	坐车
B6号口	找B6检票口
A21检票口	找A21检票口
a25	找A25检票口
B6	找B6检票口
检票口B27	找B27检票口
吃的,就餐	用餐
a22检票口	找A22检票口
a23检票口	找A23检票口
南2桥	找南2桥柱
地名,过来,高铁,到达口	找到达口
j入口	找J口
b6号口	找B6检票口
南11	找南11桥柱
检票口B2	找B2检票口
b6检票口	找B6检票口
d24号口	找D24检票口
南11桥墩	找南11桥柱
东出口,出发厅	找东出发平台
a23	找A23检票口
d22口	找D22检票口
长途汽车	坐大巴
南14桥柱	找南14桥柱
南面进站口	找南进站口
轻轨,到达口	找到达口
汤粉	找汤上功夫
检票口a1	找A1检票口
临时	办临时身份证
b27检票口	找B27检票口
坐车	坐车
A5检票口	找A5检票口
检票口b11	找B11检票口
a12口	找A12检票口
检票口a15	找A15检票口
1号口	找1号到达口
检票口c24	找C24检票口
到达口8	找8号到达口
北1柱	找北1桥柱
地名4,大巴	坐大巴
检票口B10	找B10检票口
a4检票口	找A4检票口
东侧的爱心驿站	找东门爱心驿站
15号出口	找15号到达口
东,出发平台	找东出发平台
北侧出站口	找北出站口
c25口	找C25检票口
动车票,取	找自助取票机
北2桥柱	找北2桥柱
北5洞口	找北5桥柱
地名1,轻轨,在哪坐	坐城轨
c25	找C25检票口
检票口A12	找A12检票口
K口	找K口
北14桥	找北14桥柱
取票	找自助取票机
南10桥	找南10桥柱
C24	找C24检票口
a6	找A6检票口
a20	找A20检票口
b3口	找B3检票口
出站口北	找北出站口
北14柱	找北14桥柱
北5洞口	找北5桥柱
到达口12	找12号到达口
到达口11	找11号到达口
a11口	找A11检票口
东门爱心驿站	找东门爱心驿站
母婴处	找母婴室
南10桥柱	找南10桥柱
忘记密码	找处理12306账户
出口18	找18号到达口
南9	找南9桥柱
B17口	找B17检票口
地名1,轻轨,在哪坐	坐城轨
北5桥墩	找北5桥柱
南12柱	找南12桥柱
北14桥柱	找北14桥柱
12出口	找12号到达口
北13洞口	找北13桥柱
检票口b15	找B15检票口
b15口	找B15检票口
c24	找C24检票口
a5检票口	找A5检票口
A18号口	找A18检票口
22号出口	找22号到达口
3号口	找3号到达口
17号到达口	找17号到达口
580	找西门爱心驿站
北,14号桥	找北14桥柱
A23号口	找A23检票口
检票口b20	找B20检票口
D22	找D22检票口
南,14号桥	找南14桥柱
p2	找p2停车场
出口23	找23号到达口
南,9号桥	找南9桥柱
人工售票	人工窗口
B2号口	找B2检票口
27号口	找27号到达口
南面进站口	找南进站口
厕所	找卫生间
出口6	找6号到达口
18号口	找18号到达口
哪里上	坐车
北13桥柱	找北13桥柱
公交车	坐公交
地名1	坐城轨
1出口	找1号到达口
东侧的出站口	找东出站口
存行李	找行李寄存处
3层	坐车
到达口24	找24号到达口
客运站	坐大巴
火车票,取票	找自助取票机
A25检票口	找A25检票口
P8停车场	找p8停车场
出去,东门	找东门
d22口	找D22检票口
考核身份证	找处理12306账户
北14桥柱	找北14桥柱
北5桥洞	找北5桥柱
G口	找G口
吸烟室	找吸烟处
吸烟	找吸烟处
a4检票口	找A4检票口
B27检票口	找B27检票口
C28检票口	找C28检票口
B22检票口	找B22检票口
C21	找C21检票口
A12口	找A12检票口
地名,过来,高铁,到达口	找到达口
C22检票口	找C22检票口
北12桥洞	找北12桥柱
D24	找D24检票口
检票口A9	找A9检票口
南8桥墩	找南8桥柱
A15检票口	找A15检票口
16号出口	找16号到达口
b2	找B2检票口
A12口	找A12检票口
b27口	找B27检票口
c22	找C22检票口
a24	找A24检票口
c21	找C21检票口
b19口	找B19检票口
出口5	找5号到达口
a18号口	找A18检票口
检票口D25	找D25检票口
北门	找北门
南14洞口	找南14桥柱
c26号口	找C26检票口
北14桥洞	找北14桥柱
检票口d27	找D27检票口
东面出站口	找东出站口
到3楼	坐车
西面的进站口	找西进站口
西面的出站口	找西出站口
北13柱	找北13桥柱
p10	找p10停车场
l入口	找L口
8出口	找8号到达口
北,14号桥	找北14桥柱
D22号口	找D22检票口
北7洞口	找北7桥柱
C23	找C23检票口
西面,出发平台	找西出发平台
a23号口	找A23检票口
a21检票口	找A21检票口
A24口	找A24检票口
A23口	找A23检票口
580	找西门爱心驿站
东边,出发平台	找东出发平台
13出口	找13号到达口
